timestamp,open,high,low,close,volume,Mkt-RF,SMB,HML,RMW,CMA,,,,,,,,,274,202209,-9.36,-0.96,0.05,-1.4,-0.82,0.19
9/28/2012,72.77,75.19,72.57,73.8,121605000,2.73,0.61,1.6,-1.49,1.54,,,,,,,,,122,201001,-3.36,0.34,0.43,-1.27,0.46,0
8/31/2012,74.7,74.96,71.35,72.6,163618500,2.55,0.45,1.3,-1.33,-0.86,,,,,,,,,121,200912,2.75,6.23,-0.17,1.02,-0.09,0.01
7/31/2012,69.6,75.24,69.15,74.43,210686500,0.79,-2.8,-0.02,1.1,0.09,,,,,,,,,120,200911,5.56,-2.68,-0.34,1,0.12,0
6/29/2012,65.43,69.72,65.13,69.72,229264800,3.89,0.84,0.62,-1.09,0.46,,,,,,,,,119,200910,-2.59,-4.93,-4.2,4.17,-1.49,0
5/31/2012,58.95,66.66,58.27,65.82,247098000,-6.19,-0.12,-1.06,2.08,2.32,,,,,,,,,118,200909,4.08,2.73,1.04,1.31,0.35,0.01
4/30/2012,61.08,62.49,57.18,58.91,251787900,-0.85,-0.55,-0.78,1.3,0.65,,,,,,,,,117,200908,3.33,-0.09,7.63,-3.02,3.34,0.01
3/30/2012,59.36,61.5,58.6415,61.2,185822200,3.11,-0.47,1.14,-0.54,0.74,,,,,,,,,116,200907,7.72,2.39,4.84,-0.46,3.14,0.01
2/29/2012,61.79,62.63,58.21,59.08,199314500,4.42,-1.7,0.43,-0.48,-0.01,,,,,,,,,115,200906,0.43,2.29,-2.73,-1.41,-0.33,0.01
1/31/2012,59.97,62,58.37,61.36,163577000,5.05,2.05,-0.97,-2.01,-1.43,,,,,,,,,114,200905,5.21,-2.32,0.27,-0.78,-2.16,0
12/30/2011,58.64,60,57.42,59.76,193606900,0.74,-0.33,1.63,0.98,2.51,,,,,,,,,113,200904,10.18,7.13,5.36,1.31,0.13,0.01
11/30/2011,55.82,59.395,55.68,58.9,222113300,-0.28,-0.27,-0.45,1.86,1.49,,,,,,,,,112,200903,8.95,0.68,3.48,-2.52,-2.24,0.02
10/31/2011,51.88,57.96,51.63,56.72,268820500,11.35,3.46,0.1,-2.16,-0.86,,,,,,,,,111,200902,-10.1,-1.33,-6.95,1.19,-1.02,0.01
9/30/2011,53.2,53.55,49.935,51.9,275866100,-7.59,-3.65,-1.72,2.04,0.26,,,,,,,,,110,200901,-8.12,-2.13,-11.29,0.18,-1.16,0
8/31/2011,52.79,53.49,48.31,53.19,424527100,-5.99,-3.2,-2.36,3.3,-0.38,,,,,,,,,109,200812,1.74,3.29,0.15,0.06,-1.49,0
7/29/2011,53.19,54.81,52.665,52.71,198103900,-2.35,-1.2,-0.9,2.68,-1.82,,,,,,,,,108,200811,-7.86,-3.89,-6.31,4.53,2.74,0.03
6/30/2011,54.98,55.17,51.7933,53.14,266959787,-1.75,0.13,-0.39,2.43,-1.51,,,,,,,,,107,200810,-17.23,-3.34,-2.3,3.04,2.05,0.08
5/31/2011,55.08,56.47,54.19,55.22,195699000,-1.27,-0.71,-2,1.91,-1.5,,,,,,,,,106,200809,-9.24,0.25,5.92,2.41,1.78,0.15
4/29/2011,52.25,55.16,51.92,54.98,177992800,2.9,-0.5,-2.49,1.11,-0.86,,,,,,,,,105,200808,1.53,3.46,1.59,1.86,0.84,0.13
3/31/2011,52.16,53.88,50.97,52.05,279247300,0.46,2.63,-1.85,1.8,-0.05,,,,,,,,,104,200807,-0.77,3.72,5.42,-1.37,1.08,0.15
2/28/2011,56.37,56.73,51.52,51.98,276839200,3.49,1.65,1.27,-1.93,0.87,,,,,,,,,103,200806,-8.44,1.15,-2.67,4.96,-0.55,0.17
1/31/2011,54.23,57.8975,53.54,56.07,260656500,1.99,-2.38,0.75,-0.65,0.77,,,,,,,,,102,200805,1.86,3.06,-1.49,0.93,-0.06,0.18
12/31/2010,54.42,55.34,53.14,53.93,246182100,6.82,0.99,3.76,-3.52,3.21,,,,,,,,,101,200804,4.6,-1.14,-1.04,1.63,-2.47,0.18
11/30/2010,54.05,55.72,53.43,54.09,241802400,0.6,3.64,-0.92,0.38,1.63,,,,,,,,,100,200803,-0.93,0.56,0.3,0.79,0.5,0.17
10/29/2010,53.6,54.82,52.93,54.17,208445100,3.88,0.86,-2.51,1.31,-0.33,,,,,,,,,99,200802,-3.09,-0.66,-0.84,0.88,-0.93,0.13
9/30/2010,50.49,54.39,50.46,53.52,216284000,9.54,3.77,-3.18,-0.18,0.36,,,,,,,,,98,200801,-6.36,-0.66,3.98,2.14,2.14,0.21
8/31/2010,51.55,52.48,50,50.14,272559100,-4.77,-3.13,-1.93,0.58,-1.61,,,,,,,,,97,200712,-0.87,0.15,-0.54,0.87,-1.04,0.27
7/30/2010,48.1,51.81,47.77,51.19,280340800,6.93,0.14,-0.33,0.27,1.98,,,,,,,,,96,200711,-4.83,-3.01,-0.95,1.89,-0.29,0.34
6/30/2010,50.8,52.08,48.01,48.07,390548500,-5.57,-2.47,-4.7,-0.16,-1.55,,,,,,,,,95,200710,1.8,-0.03,-3.05,-0.3,-0.09,0.32
5/28/2010,53.88,54.95,50,50.56,398119000,-7.89,0.04,-2.44,1.3,-0.22,,,,,,,,,94,200709,3.22,-2.43,-2.23,-0.52,-3.02,0.32
4/30/2010,55.75,55.9,53.52,53.64,269354100,2,4.98,2.89,0.69,1.72,,,,,,,,,93,200708,0.92,-0.37,-1.86,-1.21,-0.53,0.42
3/31/2010,54.04,56.27,53.15,55.6,270764400,6.31,1.85,2.21,-0.65,1.69,,,,,,,,,92,200707,-3.73,-2.98,-3.72,0.2,-1.13,0.4
2/26/2010,53.62,54.5,52.66,54.07,278505000,3.4,1.51,3.23,-0.27,1.43,,,,,,,,,91,200706,-1.96,0.75,-1.07,0.53,0.08,0.4
1/29/2010,53.74,55.2,52.51,53.43,291591500,-3.36,0.34,0.43,-1.27,0.46,,,,,,,,,90,200705,3.24,0.4,-0.65,1.58,-1.36,0.41
12/31/2009,54.85,55.08,52.31,53.45,264681300,2.75,6.23,-0.17,1.02,-0.09,,,,,,,,,89,200704,3.49,-2.03,-1.46,1.15,1.04,0.44
